$TrueDirectionalMovement	True Directional Movement
$TrueDirectionalMovement_DirectionalMovementPage	方向移動
$TrueDirectionalMovement_LeaningPage	傾斜
$TrueDirectionalMovement_HeadtrackingPage	ヘッドトラッキング
$TrueDirectionalMovement_TargetLockPage	ターゲットロック
$TrueDirectionalMovement_HUDPage	HUD
$TrueDirectionalMovement_MiscPage	その他

$TrueDirectionalMovement_Controls_HeaderText	コントロール
$TrueDirectionalMovement_OptionalControls_HeaderText	オプションのコントロール
$TrueDirectionalMovement_GeneralSettings_HeaderText	一般設定
$TrueDirectionalMovement_Headtracking_HeaderText	ヘッドトラッキング設定
$TrueDirectionalMovement_Nemesis_HeaderText	Nemesis
$TrueDirectionalMovement_DirectionalMovement_HeaderText	方向移動設定
$TrueDirectionalMovement_Multipliers_HeaderText	倍率設定
$TrueDirectionalMovement_Leaning_HeaderText	傾斜設定
$TrueDirectionalMovement_TargetLockSettings_HeaderText	ターゲットロック設定
$TrueDirectionalMovement_Tutorial_HeaderText	ヘルプ設定
$TrueDirectionalMovement_CameraSettings_HeaderText	カメラ設定
$TrueDirectionalMovement_ProjectileSettings_HeaderText	投射物設定
$TrueDirectionalMovement_TrueHUD_HeaderText	TrueHUD 検出
$TrueDirectionalMovement_HUD_HeaderText	HUD 設定
$TrueDirectionalMovement_ReticleSettings_HeaderText	ターゲットロックレティクル設定
$TrueDirectionalMovement_Misc_HeaderText	その他の設定
$TrueDirectionalMovement_Controller_HeaderText	コントローラー設定

$TrueDirectionalMovement_TrueHUD_OptionText	TrueHUD プラグイン
$TrueDirectionalMovement_TrueHUDEnabled_InfoText	TrueHUD が検出されました！
$TrueDirectionalMovement_TrueHUDDisabled_InfoText	この HUD 機能には別のプラグインが必要です：TrueHUD: https://www.nexusmods.com/skyrimspecialedition/mods/62775
$TrueDirectionalMovement_TrueHUDEnabled_ValueText	<font color='#33dd33'>インストール済み</font>
$TrueDirectionalMovement_TrueHUDDisabled_ValueText	<font color='#dd3333'>未インストール！</font>

$TrueDirectionalMovement_NemesisHeadtracking_OptionText	ヘッドトラッキング修正
$TrueDirectionalMovement_NemesisHeadtrackingInstalled_InfoText	ヘッドトラッキング Nemesis パッチがインストールされています！
$TrueDirectionalMovement_NemesisHeadtrackingNotInstalled_InfoText	ヘッドトラッキング Nemesis パッチがインストールされていません。ヘッドトラッキングが有効な場合、ブロッキングアニメーションの速度が遅くなるなど、微妙なグリッチが発生する可能性があります。
$TrueDirectionalMovement_NemesisHeadtrackingInstalled_ValueText	<font color='#33dd33'>インストール済み</font>
$TrueDirectionalMovement_NemesisHeadtrackingNotInstalled_ValueText	<font color='#dd3333'>未インストール！</font>

$TrueDirectionalMovement_NemesisMountedArchery_OptionText	騎乗射撃
$TrueDirectionalMovement_NemesisMountedArcheryInstalled_InfoText	騎乗射撃 Nemesis パッチがインストールされています！
$TrueDirectionalMovement_NemesisMountedArcheryNotInstalled_InfoText	騎乗射撃 Nemesis パッチがインストールされていません。この mod の騎乗射撃機能は動作しません。
$TrueDirectionalMovement_NemesisMountedArcheryInstalled_ValueText	<font color='#33dd33'>インストール済み</font>
$TrueDirectionalMovement_NemesisMountedArcheryNotInstalled_ValueText	<font color='#dd3333'>未インストール！</font>

$TrueDirectionalMovement_NemesisLeaning_OptionText	傾斜
$TrueDirectionalMovement_NemesisLeaningInstalled_InfoText	傾斜 Nemesis パッチがインストールされています！
$TrueDirectionalMovement_NemesisLeaningNotInstalled_InfoText	傾斜 Nemesis パッチがインストールされていません。傾斜機能は動作しません。
$TrueDirectionalMovement_NemesisLeaningInstalled_ValueText	<font color='#33dd33'>インストール済み</font>
$TrueDirectionalMovement_NemesisLeaningNotInstalled_ValueText	<font color='#dd3333'>未インストール！</font>

$TrueDirectionalMovement_TargetLockKey_OptionText	ターゲットロック切り替えキー
$TrueDirectionalMovement_TargetLockKey_InfoText	ターゲットロックを切り替える現在のキー割り当てです。

$TrueDirectionalMovement_SwitchTargetLeftKey_OptionText	左ターゲット切り替えキー
$TrueDirectionalMovement_SwitchTargetLeftKey_InfoText	現在のターゲットを切り替える追加のカスタムキー割り当てです。

$TrueDirectionalMovement_SwitchTargetRightKey_OptionText	右ターゲット切り替えキー
$TrueDirectionalMovement_SwitchTargetRightKey_InfoText	現在のターゲットを切り替える追加のカスタムキー割り当てです。

$TrueDirectionalMovement_DirectionalMovementSheathed_OptionText	方向移動（武器収納時）
$TrueDirectionalMovement_DirectionalMovementSheathed_InfoText	武器を収納している間に方向移動を有効にします。

$TrueDirectionalMovement_DirectionalMovementDrawn_OptionText	方向移動（武器抜刀時）
$TrueDirectionalMovement_DirectionalMovementDrawn_InfoText	武器を抜刀している状態で方向移動を有効にします。

$TrueDirectionalMovement_DirectionalMovementMode_Disabled	無効
$TrueDirectionalMovement_DirectionalMovementMode_DisabledNotRecommended	無効（非推奨）
$TrueDirectionalMovement_DirectionalMovementMode_Vanilla	バニラ
$TrueDirectionalMovement_DirectionalMovementMode_VanillaStyle	バニラスタイル
$TrueDirectionalMovement_DirectionalMovementMode_Directional	方向移動

$TrueDirectionalMovement_DialogueMode_OptionText	対話モード
$TrueDirectionalMovement_DialogueMode_InfoText	対話中に方向移動を無効にするか、何もしないか、プレイヤーキャラクターを対話相手に向けるかを選択します。
$TrueDirectionalMovement_DialogueMode_Disable	無効
$TrueDirectionalMovement_DialogueMode_Normal	通常
$TrueDirectionalMovement_DialogueMode_FaceSpeaker	対話相手に向く

$TrueDirectionalMovement_MeleeMagnetismAngle_OptionText	近接マグネット角度
$TrueDirectionalMovement_MeleeMagnetismAngle_InfoText	プレイヤーキャラクターの望む方向と近くの敵の方向の間の最大角度。これが近接マグネットで補正されます。ターゲットロックの外でのみ機能します。0 に設定すると無効になります。

$TrueDirectionalMovement_MagnetismWhileBlocking_OptionText	ブロック中の近接マグネット
$TrueDirectionalMovement_MagnetismWhileBlocking_InfoText	ブロック中にもマグネットを有効にします。「ブロック中にクロスヘアに向く」が無効な場合にのみ効果があります。

$TrueDirectionalMovement_EnableLeaning_OptionText	傾斜
$TrueDirectionalMovement_EnableLeaning_InfoText	プロシージャル傾斜を有効にします。

$TrueDirectionalMovement_EnableLeaningNPC_OptionText	傾斜（NPC）
$TrueDirectionalMovement_EnableLeaningNPC_InfoText	NPC のプロシージャル傾斜を有効にします。

$TrueDirectionalMovement_LeaningMult_InfoText	傾斜の強さに使用される倍率です。
$TrueDirectionalMovement_LeaningSpeed_InfoText	現在の傾斜値が目標の最終値に達するまでの速度を設定します。

$TrueDirectionalMovement_LeaningSpeed_OptionText	傾斜速度
$TrueDirectionalMovement_LeaningSpeed_InfoText	現在の傾斜値が最終的な目標値に達するまでの速度を設定します。

$TrueDirectionalMovement_MaxLeaningStrength_OptionText	最大傾斜強度
$TrueDirectionalMovement_MaxLeaningStrength_InfoText	傾斜の最大強度を設定します。

$TrueDirectionalMovement_Headtracking_OptionText	ヘッドトラッキング
$TrueDirectionalMovement_Headtracking_InfoText	ヘッドトラッキングを有効にします。

$TrueDirectionalMovement_HeadtrackSpine_OptionText	ヘッドトラッキングで背骨を動かす
$TrueDirectionalMovement_HeadtrackSpine_InfoText	ヘッドトラッキング中にプレイヤーキャラクターの背骨を曲げる機能を有効にします。

$TrueDirectionalMovement_DialogueHeadtrackingDuration_OptionText	対話ヘッドトラッキングの持続時間
$TrueDirectionalMovement_DialogueHeadtrackingDuration_InfoText	対話メニュー外でプレイヤーが対話相手を見続ける時間（秒）。対話中は、この設定に関係なく、常に相手を見続けます。

$TrueDirectionalMovement_CameraHeadtracking_OptionText	カメラヘッドトラッキング
$TrueDirectionalMovement_CameraHeadtracking_InfoText	カメラヘッドトラッキングを有効にします。プレイヤーキャラクターはカメラの方向を向きます。

$TrueDirectionalMovement_CameraHeadtrackingStrength_OptionText	カメラヘッドトラッキング強度
$TrueDirectionalMovement_CameraHeadtrackingStrength_InfoText	プレイヤーキャラクターがカメラの方向を向く際のヘッドトラッキングの強度を設定します。

$TrueDirectionalMovement_CameraHeadtrackingDuration_OptionText	カメラヘッドトラッキングの持続時間
$TrueDirectionalMovement_CameraHeadtrackingDuration_InfoText	プレイヤーキャラクターがカメラの方向を向く時間（秒）を設定します。その後、前方を向くようになります。カメラを動かすたびにタイマーがリセットされます。0 に設定すると、常にカメラの方向を向き続けます。

$TrueDirectionalMovement_CameraHeadtrackingMode_OptionText	カメラヘッドトラッキングの反対設定
$TrueDirectionalMovement_CameraHeadtrackingMode_InfoText	カメラがプレイヤーの後ろを見ているときに、カメラヘッドトラッキングを無効にするか、何もしないか、プレイヤーにカメラを向かせるかを選択します。
$TrueDirectionalMovement_CameraHeadtrackingMode_Disable	無効
$TrueDirectionalMovement_CameraHeadtrackingMode_Normal	通常
$TrueDirectionalMovement_CameraHeadtrackingMode_FaceCamera	カメラに向く

$TrueDirectionalMovement_FaceCrosshairWhileMoving_OptionText	移動中にクロスヘアに向く
$TrueDirectionalMovement_FaceCrosshairWhileMoving_InfoText	移動中にクロスヘアに向く機能を有効にします。これはバニラと似ていますが、カメラが解除されているため、ターゲットロックがより良くなります。

$TrueDirectionalMovement_FaceCrosshairWhileAttacking_OptionText	攻撃中にクロスヘアに向く
$TrueDirectionalMovement_FaceCrosshairWhileAttacking_InfoText	攻撃中にクロスヘアに向く機能を有効にします。

$TrueDirectionalMovement_FaceCrosshairWhileShouting_OptionText	シャウト中にクロスヘアに向く
$TrueDirectionalMovement_FaceCrosshairWhileShouting_InfoText	シャウト中にクロスヘアに向く機能を有効にします。

$TrueDirectionalMovement_FaceCrosshairWhileBlocking_OptionText	ブロック中にクロスヘアに向く
$TrueDirectionalMovement_FaceCrosshairWhileBlocking_InfoText	ブロック中にクロスヘアに向く機能を有効にします。

$TrueDirectionalMovement_FaceCrosshairDuringAutoMove_OptionText	自動移動中にクロスヘアに向く
$TrueDirectionalMovement_FaceCrosshairDuringAutoMove_InfoText	自動移動中にクロスヘアに向く機能を有効にします。

$TrueDirectionalMovement_RunningRotationSpeedMult_OptionText	走行中の回転速度倍率
$TrueDirectionalMovement_RunningRotationSpeedMult_InfoText	プレイヤーの走行中の回転速度に使用される倍率です。

$TrueDirectionalMovement_SprintingRotationSpeedMult_OptionText	スプリント中の回転速度倍率
$TrueDirectionalMovement_SprintingRotationSpeedMult_InfoText	プレイヤーのスプリント中の回転速度に使用される倍率です。

$TrueDirectionalMovement_AttackStartRotationSpeedMult_OptionText	攻撃開始時の回転速度倍率
$TrueDirectionalMovement_AttackStartRotationSpeedMult_InfoText	近接攻撃の最初のフェーズ中のプレイヤーの回転速度に使用される倍率です。

$TrueDirectionalMovement_AttackMidRotationSpeedMult_OptionText	攻撃中間時の回転速度倍率
$TrueDirectionalMovement_AttackMidRotationSpeedMult_InfoText	近接攻撃のスイング中のプレイヤーの回転速度に使用される倍率です。

$TrueDirectionalMovement_AttackEndRotationSpeedMult_OptionText	攻撃終了時の回転速度倍率
$TrueDirectionalMovement_AttackEndRotationSpeedMult_InfoText	近接攻撃の最後のフェーズ中のプレイヤーの回転速度に使用される倍率です。

$TrueDirectionalMovement_AirRotationSpeedMult_OptionText	空中回転速度倍率
$TrueDirectionalMovement_AirRotationSpeedMult_InfoText	プレイヤーが空中にいる間の回転速度に使用される倍率です。

$TrueDirectionalMovement_GlidingRotationSpeedMult_OptionText	滑空中の回転速度倍率
$TrueDirectionalMovement_GlidingRotationSpeedMult_InfoText	滑空中（パラグライダーモッド）のプレイヤーの回転速度に使用される倍率です。

$TrueDirectionalMovement_WaterRotationSpeedMult_OptionText	水中回転速度追加倍率
$TrueDirectionalMovement_WaterRotationSpeedMult_InfoText	プレイヤーが水中を歩いているとき（水泳ではない）に回転速度に追加される倍率です。この倍率の強度は水の深さによって異なります。

$TrueDirectionalMovement_SwimmingRotationSpeedMult_OptionText	水泳中の回転速度倍率
$TrueDirectionalMovement_SwimmingRotationSpeedMult_InfoText	プレイヤーが水泳中の回転速度に使用される倍率です。

$TrueDirectionalMovement_DodgeUnlockedRotationSpeedMult_OptionText	回避中の回転速度倍率
$TrueDirectionalMovement_DodgeUnlockedRotationSpeedMult_InfoText	特定の回避部分で回転が部分的に解除されているときに、プレイヤーの回避中の回転速度に使用される倍率です。これは、特定のドッジモッド（Dodge Framework）をサポートしている場合にのみ機能します。

$TrueDirectionalMovement_FaceCrosshairRotationSpeedMult_OptionText	クロスヘアに向く際の回転速度倍率
$TrueDirectionalMovement_FaceCrosshairRotationSpeedMult_InfoText	クロスヘアに向く際のプレイヤーの回転速度に使用される倍率です。

$TrueDirectionalMovement_FaceCrosshairInstantly_OptionText	クロスヘアに瞬時に向く
$TrueDirectionalMovement_FaceCrosshairInstantly_InfoText	クロスヘアに向く際に、上記の回転倍率を使用せずに瞬時に向く機能を有効にします（例えば、エイムサポートが無効のときに投射物を狙う場合）。

$TrueDirectionalMovement_IgnoreSlowTime_OptionText	スロータイムを無視
$TrueDirectionalMovement_IgnoreSlowTime_InfoText	プレイヤーの回転速度を計算する際にスロータイム効果を無視する機能を有効にします。

$TrueDirectionalMovement_DisableAttackRotationMultipliersForTransformations_OptionText	変身中の攻撃回転倍率を無効化
$TrueDirectionalMovement_DisableAttackRotationMultipliersForTransformations_InfoText	ウェアウルフ/ヴァンパイアロードの攻撃回転倍率を適用しないようにします。デフォルトのアニメーションは、攻撃イベントのタイミングが調整されており、戦闘中の回転が反応しないように感じられる原因となります。

$TrueDirectionalMovement_SwimmingPitchSpeed_OptionText	水泳中のピッチ速度
$TrueDirectionalMovement_SwimmingPitchSpeed_InfoText	水泳中のプレイヤーキャラクターのピッチ変更速度です。

$TrueDirectionalMovement_ControllerBufferDepth_OptionText	コントロールバッファ深度の上書き
$TrueDirectionalMovement_ControllerBufferDepth_InfoText	方向移動中に .ini 設定の 'fControllerBufferDepth' をこの値で上書きします。バニラの値は 0.14 です。値を下げると操作の反応が良くなりますが、移動アニメーションの遷移がぎこちなくなります。

$TrueDirectionalMovement_StopOnDirectionChange_OptionText	方向変更時に停止
$TrueDirectionalMovement_StopOnDirectionChange_InfoText	現在のキャラクターの向きと反対方向に移動しようとすると、移動を停止します。
